nconst,profession_id
nm0000001,2
nm0000001,27
nm0000001,31
nm0000002,3
nm0000002,27
nm0000002,39
nm0000003,3
nm0000003,29
nm0000003,31
nm0000004,2
nm0000004,45
nm0000004,29
nm0000005,45
nm0000005,19
nm0000005,2
nm0000006,3
nm0000006,31
nm0000006,39
nm0000007,2
nm0000007,31
nm0000007,27
nm0000008,2
nm0000008,19
nm0000008,45
nm0000009,2
nm0000009,31
nm0000009,19
nm0000010,2
nm0000010,19
nm0000010,31
nm0000011,2
nm0000011,41
nm0000011,31
nm0000012,3
nm0000012,25
nm0000012,31
nm0000013,3
nm0000013,31
nm0000013,27
nm0000014,3
nm0000014,39
nm0000014,5
nm0000015,2
nm0000015,27
nm0000015,5
nm0000016,16
nm0000016,29
nm0000016,2
nm0000017,3
nm0000017,29
nm0000017,39
nm0000018,2
nm0000018,31
nm0000018,19
nm0000019,45
nm0000019,19
nm0000019,2
nm0000020,2
nm0000020,31
nm0000020,27
nm0000021,3
nm0000021,31
nm0000021,39
nm0000022,2
nm0000022,31
nm0000022,39
nm0000023,3
nm0000023,39
nm0000023,5
nm0000024,2
nm0000024,19
nm0000024,45
nm0000025,29
nm0000025,16
nm0000025,27
nm0000026,2
nm0000026,31
nm0000026,39
nm0000027,2
nm0000027,45
nm0000027,39
nm0000028,3
nm0000028,31
nm0000028,39
nm0000030,3
nm0000030,39
nm0000030,5
nm0000031,3
nm0000031,45
nm0000031,39
nm0000032,2
nm0000032,19
nm0000032,45
nm0000033,19
nm0000033,31
nm0000033,45
nm0000034,2
nm0000034,27
nm0000034,39
nm0000035,29
nm0000035,16
nm0000035,2
nm0000036,2
nm0000036,45
nm0000036,19
nm0000037,2
nm0000037,27
nm0000037,19
nm0000038,3
nm0000038,31
nm0000038,39
nm0000039,3
nm0000039,39
nm0000039,5
nm0000040,45
nm0000040,19
nm0000040,31
nm0000041,45
nm0000041,19
nm0000041,10
nm0000042,2
nm0000042,31
nm0000042,11
nm0000043,3
nm0000043,31
nm0000043,39
nm0000044,2
nm0000044,31
nm0000044,27
nm0000045,2
nm0000045,45
nm0000045,27
nm0000046,3
nm0000046,45
nm0000046,39
nm0000047,3
nm0000047,27
nm0000047,39
nm0000048,2
nm0000048,45
nm0000048,19
nm0000049,29
nm0000049,16
nm0000049,2
nm0000050,2
nm0000050,45
nm0000050,19
nm0000051,2
nm0000051,31
nm0000051,45
nm0000052,2
nm0000052,31
nm0000052,27
nm0000053,2
nm0000053,31
nm0000053,45
nm0000054,3
nm0000054,45
nm0000054,39
nm0000055,29
