tconst,title_type,primary_title,original_title,is_adult,start_year,end_year,runtime_minutes
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,false,1895,,1
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,false,1896,,1
tt0000014,short,The Waterer Watered,L'arroseur arrosé,false,1895,,1
tt0000211,short,"The Astronomer's Dream; or, The Man in the Moon",La lune à un mètre,false,1898,,3
tt0000417,short,A Trip to the Moon,Le voyage dans la lune,false,1902,,13
tt0000439,short,The Great Train Robbery,The Great Train Robbery,false,1903,,11
tt0001223,short,Frankenstein,Frankenstein,false,1910,,16
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,false,1915,,195
tt0006206,movie,Les Vampires,Les vampires,false,1915,,421
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,false,1916,,210
tt0007880,short,Easy Street,Easy Street,false,1917,,24
tt0008133,short,The Immigrant,The Immigrant,false,1917,,30
tt0009018,short,A Dog's Life,A Dog's Life,false,1918,,33
tt0009611,short,Shoulder Arms,Shoulder Arms,false,1918,,36
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,false,1919,,90
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,false,1920,,67
tt0011130,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,false,1920,,69
tt0011237,movie,The Golem,"Der Golem, wie er in die Welt kam",false,1920,,91
tt0011541,short,One Week,One Week,false,1920,,25
tt0011656,short,The Scarecrow,The Scarecrow,false,1920,,19
tt0011841,movie,Way Down East,Way Down East,false,1920,,145
tt0012224,short,The Goat,The Goat,false,1921,,23
tt0012349,movie,The Kid,The Kid,false,1921,,68
tt0012364,movie,The Phantom Carriage,Körkarlen,false,1921,,107
tt0012494,movie,Destiny,Der müde Tod,false,1921,,114
tt0012532,movie,Orphans of the Storm,Orphans of the Storm,false,1921,,150
tt0013025,short,Cops,Cops,false,1922,,18
tt0013086,movie,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",false,1922,,195
tt0013257,movie,Häxan,Häxan,false,1922,,91
tt0013427,movie,Nanook of the North,Nanook of the North,false,1922,,78
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",false,1922,,94
tt0013486,short,Pay Day,Pay Day,false,1922,,21
tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,false,1923,,133
tt0014341,movie,Our Hospitality,Our Hospitality,false,1923,,65
tt0014358,movie,The Pilgrim,The Pilgrim,false,1923,,47
tt0014429,movie,Safety Last!,Safety Last!,false,1923,,74
tt0014538,movie,Three Ages,Three Ages,false,1923,,63
tt0014624,movie,A Woman of Paris: A Drama of Fate,A Woman of Paris: A Drama of Fate,false,1923,,82
tt0015064,movie,The Last Laugh,Der letzte Mann,false,1924,,90
tt0015163,movie,The Navigator,The Navigator,false,1924,,59
tt0015174,movie,Die Nibelungen: Kriemhild's Revenge,Die Nibelungen: Kriemhilds Rache,false,1924,,129
tt0015175,movie,Die Nibelungen: Siegfried,Die Nibelungen: Siegfried,false,1924,,100
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,false,1924,,45
tt0015361,movie,Strike,Stachka,false,1925,,82
tt0015400,movie,The Thief of Bagdad,The Thief of Bagdad,false,1924,,155
tt0015532,movie,The Adventures of Prince Achmed,Die Abenteuer des Prinzen Achmed,false,1926,,80
tt0015624,movie,The Big Parade,The Big Parade,false,1925,,151
tt0015648,movie,Battleship Potemkin,Bronenosets Potyomkin,false,1925,,66
tt0015841,movie,The Freshman,The Freshman,false,1925,,77
tt0015863,movie,Go West,Go West,false,1925,,83
tt0015864,movie,The Gold Rush,The Gold Rush,false,1925,,95
tt0015881,movie,Greed,Greed,false,1924,,140
tt0016039,movie,The Lost World,The Lost World,false,1925,,110
tt0016220,movie,The Phantom of the Opera,The Phantom of the Opera,false,1925,,93
tt0016332,movie,Seven Chances,Seven Chances,false,1925,,56
tt0016641,movie,Ben-Hur: A Tale of the Christ,Ben-Hur A Tale of the Christ,false,1925,,143
tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,false,1926,,107
tt0017048,movie,A Page of Madness,Kurutta ichipêji,false,1926,,70
tt0017075,movie,The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,false,1927,,92
tt0017136,movie,Metropolis,Metropolis,false,1927,,153
tt0017668,movie,Berlin: Symphony of Metropolis,Berlin - Die Sinfonie der Großstadt,false,1927,,65
tt0017765,movie,College,College,false,1927,,66
tt0017925,movie,The General,The General,false,1926,,78
tt0018037,movie,The Jazz Singer,The Jazz Singer,false,1927,,88
tt0018051,movie,The Kid Brother,The Kid Brother,false,1927,,82
tt0018192,movie,Napoleon,Napoléon vu par Abel Gance,false,1927,,330
tt0018217,movie,October (Ten Days that Shook the World),Oktyabr,false,1928,,95
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,false,1927,,94
tt0018528,movie,The Unknown,The Unknown,false,1927,,68
tt0018578,movie,Wings,Wings,false,1927,,144
tt0018737,movie,Pandora's Box,Die Büchse der Pandora,false,1929,,109
tt0018742,movie,The Cameraman,The Cameraman,false,1928,,76
tt0018773,movie,The Circus,The Circus,false,1928,,72
tt0018806,movie,The Crowd,The Crowd,false,1928,,98
tt0018839,movie,The Docks of New York,The Docks of New York,false,1928,,76
tt0019130,movie,The Man Who Laughs,The Man Who Laughs,false,1928,,110
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,false,1928,,114
tt0019421,movie,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",false,1928,,70
tt0019422,short,Steamboat Willie,Steamboat Willie,false,1928,,8
tt0019585,movie,The Wind,The Wind,false,1928,,95
tt0019702,movie,Blackmail,Blackmail,false,1929,,85
tt0019729,movie,The Broadway Melody,The Broadway Melody,false,1929,,100
tt0019760,movie,Man with a Movie Camera,Chelovek s kino-apparatom,false,1929,,68
tt0019777,movie,The Cocoanuts,The Cocoanuts,false,1929,,96
tt0020414,short,The Skeleton Dance,The Skeleton Dance,false,1929,,6
tt0020475,movie,Diary of a Lost Girl,Tagebuch einer Verlorenen,false,1929,,79
tt0020530,short,Un chien andalou,Un chien andalou,false,1929,,16
tt0020629,movie,All Quiet on the Western Front,All Quiet on the Western Front,false,1930,,152
tt0020640,movie,Animal Crackers,Animal Crackers,false,1930,,97
tt0020691,movie,The Big Trail,The Big Trail,false,1930,,125
