episode_tconst,parent_tconst,season_number,episode_number
tt0059753,tt0060028,1,0
tt0061027,tt0060028,1,3
tt0066932,tt1466074,1,1
tt0094030,tt0092455,1,1
tt0094982,tt0092337,1,1
tt0094984,tt0092337,1,2
tt0094985,tt0092337,1,3
tt0094987,tt0092337,1,5
tt0098151,tt0096684,1,1
tt0098286,tt0098904,1,1
tt0106336,tt0105946,1,0
tt0108170,tt0297626,9,10
tt0108214,tt0106145,1,1
tt0111281,tt0092455,7,25
tt0112120,tt10198576,1,6
tt0162905,tt0092455,5,18
tt0170817,tt0106179,1,1
tt0278784,tt0098936,1,1
tt0286610,tt0244365,1,1
tt0348034,tt0096697,1,1
tt0367555,tt0364151,19,7
tt0394893,tt0121955,1,1
tt0394904,tt0060028,1,11
tt0394905,tt0060028,1,8
tt0452716,tt0118276,1,1
tt0516772,tt0417299,2,5
tt0516773,tt0417299,2,14
tt0516774,tt0417299,1,6
tt0516775,tt0417299,1,10
tt0516776,tt0417299,1,4
tt0516777,tt0417299,1,16
tt0516778,tt0417299,1,14
tt0516779,tt0417299,1,17
tt0516780,tt0417299,1,19
tt0516782,tt0417299,1,18
tt0516783,tt0417299,2,7
tt0519590,tt0103359,1,3
tt0533388,tt0118276,1,7
tt0533398,tt0118276,2,22
tt0533407,tt0118276,7,22
tt0533415,tt0118276,3,16
tt0533437,tt0118276,2,6
tt0533443,tt0118276,4,10
tt0533448,tt0118276,2,14
tt0533466,tt0118276,6,7
tt0533470,tt0118276,2,17
tt0533474,tt0118276,1,12
tt0533496,tt0118276,5,16
tt0533499,tt0118276,5,22
tt0533501,tt0118276,1,2
tt0533510,tt0118276,3,9
tt0533527,tt0118276,1,3
tt0562985,tt0436992,1,4
tt0562986,tt0436992,1,12
tt0562987,tt0436992,1,11
tt0562988,tt0436992,1,6
tt0562989,tt0436992,1,8
tt0562990,tt0436992,2,1
tt0562991,tt0436992,2,5
tt0562992,tt0436992,1,1
tt0562993,tt0436992,2,3
tt0562994,tt0436992,2,0
tt0562995,tt0436992,1,10
tt0562996,tt0436992,1,9
tt0562997,tt0436992,1,2
tt0562998,tt0436992,2,4
tt0562999,tt0436992,1,7
tt0563000,tt0436992,1,13
tt0563001,tt0436992,1,3
tt0563002,tt0436992,2,2
tt0563003,tt0436992,1,5
tt0576927,tt0182576,1,1
tt0579527,tt0303461,1,8
tt0579528,tt0303461,1,2
tt0579530,tt0303461,1,4
tt0579531,tt0303461,1,10
tt0579532,tt0303461,1,3
tt0579533,tt0303461,1,5
tt0579534,tt0303461,1,7
tt0579535,tt0303461,1,11
tt0579537,tt0303461,1,6
tt0579539,tt0303461,1,1
tt0579540,tt0303461,1,13
tt0579541,tt0303461,1,9
tt0583432,tt0108778,10,9
tt0583433,tt0108778,10,17
tt0583435,tt0108778,8,1
tt0583436,tt0108778,10,1
