tconst,genre_id
tt0000010,8
tt0000010,23
tt0000012,8
tt0000012,23
tt0000014,6
tt0000014,23
tt0000211,6
tt0000211,11
tt0000211,15
tt0000417,3
tt0000417,6
tt0000417,11
tt0000439,1
tt0000439,3
tt0000439,7
tt0001223,11
tt0001223,15
tt0001223,22
tt0004972,9
tt0004972,27
tt0006206,1
tt0006206,3
tt0006206,7
tt0006864,9
tt0006864,14
tt0007880,6
tt0007880,23
tt0008133,6
tt0008133,9
tt0008133,21
tt0009018,6
tt0009018,9
tt0009018,23
tt0009611,6
tt0009611,23
tt0009611,27
tt0009968,9
tt0009968,21
tt0010323,15
tt0010323,18
tt0010323,26
tt0011130,9
tt0011130,15
tt0011130,22
tt0011237,11
tt0011237,15
tt0011541,6
tt0011541,23
tt0011656,6
tt0011656,10
tt0011656,23
tt0011841,9
tt0011841,21
tt0012224,6
tt0012224,23
tt0012349,6
tt0012349,9
tt0012349,10
tt0012364,9
tt0012364,11
tt0012364,15
tt0012494,9
tt0012494,11
tt0012494,15
tt0012532,9
tt0012532,14
tt0012532,21
tt0013025,6
tt0013025,10
tt0013025,23
tt0013086,7
tt0013086,18
tt0013086,26
tt0013257,8
tt0013257,11
tt0013257,15
tt0013427,8
tt0013442,11
tt0013442,15
tt0013486,6
tt0013486,23
tt0014142,9
tt0014142,15
tt0014142,21
tt0014341,6
tt0014341,21
tt0014341,26
tt0014358,6
tt0014358,28
tt0014429,1
tt0014429,6
tt0014429,21
tt0014538,6
tt0014624,9
tt0014624,21
tt0015064,9
tt0015163,1
tt0015163,3
tt0015163,6
tt0015174,3
tt0015174,9
tt0015174,11
tt0015175,3
tt0015175,9
tt0015175,11
tt0015324,1
tt0015324,6
tt0015324,21
tt0015361,9
tt0015400,3
tt0015400,10
tt0015400,11
tt0015532,3
tt0015532,4
tt0015532,9
tt0015624,9
tt0015624,21
tt0015624,27
tt0015648,9
tt0015648,14
tt0015648,26
tt0015841,6
tt0015841,10
tt0015841,21
tt0015863,6
tt0015863,28
tt0015864,3
tt0015864,6
tt0015864,9
tt0015881,9
tt0015881,26
tt0015881,28
tt0016039,3
tt0016039,11
tt0016039,15
tt0016220,15
tt0016220,16
tt0016332,6
tt0016332,21
tt0016641,1
tt0016641,3
tt0016641,9
tt0016847,9
tt0016847,11
tt0016847,15
tt0017048,9
tt0017048,15
tt0017048,26
tt0017075,7
tt0017075,9
tt0017075,18
tt0017136,9
tt0017136,22
tt0017668,8
tt0017765,6
tt0017765,9
tt0017765,24
tt0017925,1
tt0017925,3
tt0017925,6
tt0018037,9
tt0018037,16
tt0018037,17
tt0018051,6
tt0018051,9
tt0018051,10
tt0018192,5
tt0018192,9
tt0018192,14
tt0018217,9
tt0018217,14
tt0018455,9
tt0018455,21
tt0018528,9
tt0018528,15
tt0018528,21
tt0018578,1
tt0018578,9
tt0018578,21
tt0018737,7
tt0018737,9
tt0018737,21
tt0018742,6
tt0018742,9
tt0018742,10
tt0018773,6
tt0018773,10
tt0018773,21
tt0018806,9
tt0018806,21
tt0018839,7
tt0018839,9
tt0018839,12
tt0019130,9
tt0019130,15
tt0019130,18
tt0019254,5
tt0019254,9
tt0019254,14
tt0019421,1
tt0019421,6
tt0019421,9
tt0019422,4
tt0019422,6
tt0019422,10
tt0019585,9
tt0019585,21
tt0019585,26
tt0019702,7
tt0019702,9
tt0019702,18
tt0019729,9
tt0019729,17
tt0019729,21
tt0019760,8
tt0019777,6
tt0019777,17
tt0019777,21
tt0020414,4
tt0020414,6
tt0020414,10
tt0020475,9
tt0020530,11
tt0020530,15
tt0020530,23
tt0020629,9
tt0020629,27
tt0020640,6
tt0020640,10
tt0020640,17
tt0020691,3
tt0020691,9
tt0020691,21
tt0020697,9
tt0020697,16
tt0020697,21
tt0020960,9
tt0020960,27
tt0021079,1
tt0021079,7
tt0021079,9
tt0021156,9
tt0021156,21
tt0021165,7
tt0021165,9
tt0021165,18
tt0021331,11
tt0021571,9
tt0021577,6
tt0021577,9
tt0021739,7
tt0021739,9
