tconst,average_rating,num_votes
tt0111161,9.3,3184015
tt0468569,9.1,3163223
tt1375666,8.8,2812854
tt0944947,9.2,2610446
tt0903747,9.5,2608934
tt0137523,8.8,2603506
tt0816692,8.7,2523178
tt0109830,8.8,2493577
tt0110912,8.8,2432534
tt0133093,8.7,2244665
tt0068646,9.2,2223605
tt0120737,8.9,2203965
tt0167260,9.0,2162124
tt0114369,8.6,2017964
tt1345836,8.4,1991477
tt0167261,8.8,1954792
tt1853728,8.5,1880461
tt0172495,8.5,1847143
tt0993846,8.2,1784540
tt0361748,8.4,1780844
tt0102926,8.6,1721102
tt0372784,8.2,1711543
tt4574334,8.6,1695574
tt7286456,8.3,1691036
tt1130884,8.2,1644367
tt0120815,8.6,1636753
tt0482571,8.5,1585417
tt0108052,9.0,1583897
tt0076759,8.6,1568171
tt0120689,8.6,1559532
tt0848228,8.0,1556706
tt0407887,8.5,1552441
tt0080684,8.7,1502936
tt0499549,7.9,1496173
tt0071562,9.0,1493729
tt0088763,8.5,1451315
tt4154796,8.4,1443490
tt0209144,8.4,1433850
tt0120338,8.0,1390933
tt0099685,8.7,1389767
tt0120382,8.2,1370422
tt4154756,8.4,1369675
tt2015381,8.0,1362526
tt0110413,8.5,1349810
tt0325980,8.1,1323540
tt0910970,8.4,1319129
tt0266697,8.2,1306023
tt0103064,8.6,1282792
tt0169547,8.3,1278986
tt0120586,8.5,1272102
tt0110357,8.5,1257211
tt1431045,8.0,1252529
tt0434409,8.1,1245620
tt0114814,8.5,1237882
tt0264464,8.1,1235883
tt1049413,8.3,1234386
tt0081505,8.4,1224168
tt0371746,7.9,1223329
tt0119217,8.4,1215051
tt0086190,8.3,1208169
tt0266543,8.2,1206262
tt1392190,8.1,1205187
tt1520211,8.1,1194547
tt0108778,8.8,1190701
tt0477348,8.2,1187973
tt0338013,8.3,1181733
tt0107290,8.2,1176180
tt0114709,8.3,1172556
tt0105236,8.3,1169834
tt2267998,8.1,1167365
tt6751668,8.5,1161134
tt0112573,8.3,1160148
tt0073486,8.6,1156267
tt2582802,8.5,1152500
tt0167404,8.2,1143338
tt0082971,8.4,1109340
tt1475582,9.0,1087416
tt1392170,7.2,1080605
tt0198781,8.1,1073828
tt0078748,8.5,1062942
tt0268978,8.2,1052612
tt1201607,8.1,1044476
tt1160419,8.0,1040767
tt7366338,9.3,1033842
tt0095016,8.2,1029328
tt1675434,8.5,1026039
tt0075314,8.2,1025144
tt15398776,8.2,1024917
tt2488496,7.7,1024882
tt10872600,8.1,1018228
tt0086250,8.3,1014416
tt0253474,8.5,1011231
tt3659388,8.0,1011221
tt0088247,8.1,1003735
tt2395427,7.3,999682
tt0050083,9.0,982843
tt0208092,8.2,976309
tt0180093,8.3,972585
tt1843866,7.7,970767
tt2278388,8.1,969737
tt0435761,8.3,968701
tt0145487,7.4,967244
tt0458339,6.9,966323
tt0245429,8.6,965449
tt0800369,7.0,965028
tt1300854,7.1,964825
tt7131622,7.6,960957
tt0241527,7.7,951310
tt1663202,8.0,948781
tt0382932,8.1,942230
tt1228705,6.9,936670
tt0066921,8.2,936131
tt0898266,8.1,935755
tt1392214,8.2,933296
tt0773262,8.6,932724
tt1119646,7.7,928805
tt0903624,7.8,926920
tt3498820,7.8,926214
tt1877830,7.8,925293
tt0120915,6.5,925287
tt3315342,8.1,925117
tt0121766,7.7,920219
tt0118715,8.1,916395
tt2096673,8.1,913748
